64,BD+48 740 b,2215,538.9,8.699,2018,Gas Giant,13.44,1.7 AU,730,0.76,BD-13 2130,Radial Velocity,,,07h37m09.23s,-13d54m23.9s,4545,2.12,19.17,29.2954678
65,BD+49 828 b,1460,507.2,9.38,2015,Gas Giant,13.552,4.2 AU,2591.5,0.35,BD-17 63,Radial Velocity,,,00h28m34.31s,-16d13m34.8s,4714,0.74,0.69,27.11834928
66,Beta Cancri b,295,2472.6,3.53,2014,Gas Giant,12.544,1.7 AU,620.5,0.08,bet Cnc,Radial Velocity,,,08h16m30.92s,+09d11m08.0s,4092.1,1.7,47.2,154.3023589
67,Beta Pictoris b,64,3487,3.85,2008,Gas Giant,18.48,9.1 AU,7665,0.08,bet Pic,Imaging,88.9,,05h47m17.09s,-51d03m59.4s,,1.76,,100.2625636
68,Beta Pictoris c,64,2853,3.85,2019,Gas Giant,12.544,2.7 AU,1204.5,0.24,bet Pic,Radial Velocity,90,,05h47m17.09s,-51d03m59.4s,,1.76,,178.0411834
69,Beta Ursae Minoris b,127,1933.7,2.08,2014,Gas Giant,12.768,1.4 AU,511,0.19,bet UMi,Radial Velocity,,,14h50m42.33s,+74d09m19.8s,4126,1.4,38.3,116.4753812
70,CFBDSIR J145829+101343 b,75,3328.5,,2011,Gas Giant,12.432,2.6 AU,10037.5,0,CFBDSIR J145829+101343,Imaging,,,14h58m29.00s,+10d13m43.0s,580.5,0.02,,211.47418
71,CHXR 73 b,623,3984.373,17.293,2006,Gas Giant,12.32,210.0 AU,1878618.5,0,CHXR 73,Imaging,,,11h06m28.77s,-77d37m33.2s,,0.35,,257.7682149
72,CI Tauri b,515,3677.2,12.939,2019,Gas Giant,12.432,Unknown,9,0.25,CI Tau,Radial Velocity,50.5,,04h33m52.01s,+22d50m30.1s,,0.9,,233.6286179
73,CoRoT-10 b,1125,871.75,15.22,2010,Gas Giant,10.864,0.1055 AU,13.2,0.53,CoRoT-1,Transit,85.1,0.38,06h48m19.17s,-03d06m07.7s,5950,0.95,1.11,72.52758779
74,CoRoT-11 b,1827,738.61,12.939,2010,Gas Giant,16.016,0.0436 AU,3,0,CoRoT-10,Transit,88.55,3.7,19h24m15.29s,+00d44m46.1s,5075,0.89,0.79,28.27469014
75,CoRoT-12 b,3751,290.689,15.515,2010,Gas Giant,16.128,0.04016 AU,2.8,0.07,CoRoT-11,Transit,83.17,0.99,18h42m44.94s,+05d56m15.7s,6440,1.27,1.37,10.97383332
76,CoRoT-13 b,3458,414.636,15.039,2010,Gas Giant,9.912,0.051 AU,4,0,CoRoT-12,Transit,85.48,0.411,06h43m03.76s,-01d17m47.2s,5675,1.08,1.12,41.44147558
77,CoRoT-14 b,4371,2409.2,16.033,2010,Gas Giant,12.208,0.027 AU,1.5,0,CoRoT-13,Transit,88.02,2.34,06h50m53.07s,-05d05m11.2s,5945,1.09,1.01,158.7356974
78,CoRoT-16 b,2740,169.595,15.63,2011,Gas Giant,13.104,0.0618 AU,5.4,0.33,CoRoT-14,Transit,79.6,7.3,06h53m41.81s,-05d32m09.7s,6035,1.13,1.21,9.698310105
79,CoRoT-17 b,3001,770.31,15.46,2011,Gas Giant,11.424,0.0461 AU,3.8,0,CoRoT-16,Transit,85.01,0.44,18h34m05.93s,-06d00m09.3s,5650,1.1,1.19,57.95887381
80,CoRoT-18 b,2838,1099.99,15,2011,Gas Giant,14.672,0.0295 AU,1.9,< 0.08,CoRoT-17,Transit,88.34,2.82,18h34m47.82s,-06d36m44.0s,5740,1.04,1.59,50.17656091
81,CoRoT-19 b,2512,351.87,14.007,2011,Gas Giant,14.448,0.0518 AU,3.9,0.05,CoRoT-18,Transit,86.5,2.2,06h32m41.38s,-00d01m53.7s,5440,0.95,1,16.55227017
82,CoRoT-1 b,2627,326.51,13.6,2008,Gas Giant,16.688,0.02752 AU,1.5,0,CoRoT-19,Transit,88,0.71,06h28m08.06s,-00d10m14.5s,6090,1.21,1.65,11.51273998
83,CoRoT-20 b,2819,1363.1,14.66,2011,Gas Giant,9.408,0.09 AU,9.2,0.59,CoRoT-2,Transit,88.08,1.47,19h27m06.49s,+01d23m01.4s,5625,0.96,0.91,151.2251039
84,CoRoT-20 c,2819,5389,14.66,2018,Gas Giant,12.208,2.9 AU,1679,0.6,CoRoT-20,Transit,88.21,,06h30m52.90s,+00d13m36.9s,,1.14,,355.0666916
85,CoRoT-21 b,4563,716.42,16,2012,Gas Giant,14.56,0.0417 AU,2.7,0,CoRoT-20,Radial Velocity,,,06h30m52.90s,+00d13m36.9s,,1.14,,33.18453547
86,CoRoT-22 b,1931,12.2,13.944,2014,Neptune-like,4.872,0.092 AU,9.8,0.08,CoRoT-21,Transit,86.8,1.36,06h44m12.588s,-00d17m56.868s,6200,1.29,1.95,5.04703205
87,CoRoT-23 b,1957,887.6,15.63,2011,Gas Giant,11.76,0.048 AU,3.6,0.16,CoRoT-22,Transit,89.749,0.249,18h42m40.11s,+06d13m08.9s,5939,1.1,1.14,63.02218283
88,CoRoT-24 b,1957,5.7,15.18,2014,Neptune-like,3.696,0.056 AU,5.1,0,CoRoT-23,Transit,85.7,3,18h39m07.83s,+04d21m28.1s,5900,1.14,1.61,4.097337342
89,CoRoT-24 c,1957,28,15.18,2014,Neptune-like,4.928,0.098 AU,11.8,0,CoRoT-24,Transit,86.5,0.9,06h47m41.41s,-03d43m09.5s,4950,0.91,0.86,11.32159002
90,CoRoT-25 b,3262,85.59,14.711,2013,Gas Giant,12.096,0.0578 AU,4.9,0,CoRoT-24,Transit,89,1.3,06h47m41.41s,-03d43m09.5s,4950,0.91,0.86,5.744209373
91,CoRoT-26 b,5448,164.84,15.468,2013,Gas Giant,14.112,0.0526 AU,4.2,0,CoRoT-25,Transit,84.5,0.15,18h42m31.12s,+06d30m49.8s,6040,1.09,1.19,8.127860881
92,CoRoT-27 b,3377,3293.63,15.54,2014,Gas Giant,11.2784,0.0476 AU,3.6,< 0.065,CoRoT-26,Transit,86.8,0.28,18h39m00.12s,+06d58m11.2s,5590,1.09,1.79,254.2556512
93,CoRoT-28 b,1827,153.428,13.412,2015,Gas Giant,10.696,0.0603 AU,5.2,0.05,CoRoT-27,Transit,86.7,12.6,18h33m59.00s,+05d32m18.5s,5900,1.05,1.08,13.16899481
94,CoRoT-29 b,2495,269.45,15.239,2015,Gas Giant,10.08,0.0386 AU,2.9,0.08,CoRoT-28,Transit,88.1,0.69,18h34m45.20s,+05d34m25.4s,5150,1.01,1.78,26.04041582
95,CoRoT-2 b,652,1099.99,12.57,2008,Gas Giant,16.4192,0.02798 AU,1.7,0.01,CoRoT-29,Transit,87.3,1.45,18h35m36.50s,+06d28m46.7s,5260,0.97,0.9,40.065959
96,CoRoT-30 b,3132,919.3,15.65,2020,Gas Giant,11.3008,0.0844 AU,9.1,0.01,CoRoT-3,Transit,85.9,26.4,19h28m13.26s,+00d07m18.6s,6740,1.37,1.56,70.68539244
97,CoRoT-31 b,7144,266.28,15.465,2020,Gas Giant,16.352,0.0586 AU,4.6,0.02,CoRoT-30,Transit,90,3.45,18h30m24.264s,+06d50m09.424s,5650,0.98,0.91,9.778845455
98,CoRoT-3 b,2218,6866.22,13.292,2008,Gas Giant,11.312,0.05783 AU,4.3,0,CoRoT-31,Transit,83.2,0.33,06h19m16.975s,-04d25m20.194s,5700,1.25,2.15,526.9018371
99,CoRoT-4 b,2419,228.24,13.561,2008,Gas Giant,13.328,0.09 AU,9.2,0,CoRoT-4,Transit,90,0.525,06h48m46.72s,-00d40m22.0s,6190,1.16,1.17,12.6168977
100,CoRoT-5 b,2951,148.039,13.902,2009,Gas Giant,15.5456,0.04947 AU,4,0.09,CoRoT-5,Transit,85.83,0.217,06h45m06.54s,+00d48m54.9s,6100,1,1.19,6.015226103
101,CoRoT-6 b,2144,938.32,13.912,2009,Gas Giant,13.0592,0.0855 AU,8.9,< 0.1,CoRoT-6,Transit,89.07,2.32,18h44m17.41s,+06d39m47.5s,6090,1.05,1.02,54.02672203
102,CoRoT-7 b,524,3.1783,11.668,2009,Super Earth,1.681,0.017016,0.9,0,CoRoT-7,Transit,80.1,,06h43m49.47s,-01d03m46.9s,5275,0.82,0.83,11.04460662
103,CoRoT-7 c,524,8.4,11.668,2009,Neptune-like,2.8336,0.046 AU,3.7,0,CoRoT-7,Radial Velocity,80,,06h43m49.47s,-01d03m46.9s,5275,0.82,0.83,10.27289832
104,CoRoT-8 b,1240,69.74,14.8,2010,Gas Giant,6.384,0.063 AU,6.2,0,CoRoT-8,Transit,88.4,1.6,19h26m21.24s,+01d25m35.2s,5080,0.88,0.77,16.80300581
105,CoRoT-9 b,1363,266.28,13.69,2009,Gas Giant,11.9392,0.4021 AU,95.3,0.13,CoRoT-9,Transit,89.9,0.86,18h43m08.81s,+06d12m15.0s,5625,0.96,0.96,18.3433598
106,CoRoTID 223977153 b,1912,47.55,13.587,2017,Gas Giant,6.384,0.071 AU,6.7,0,CoRoTID 223977153,Transit,89,1.1,06h40m46.84s,+09d15m26.8s,5970,1.08,0.79,11.45659487
107,CT Chamaleontis b,538,5389,11.773,2007,Gas Giant,24.64,440.0 AU,inf,0,CT Cha,Imaging,,,11h04m09.09s,-76d27m19.4s,,,,87.16006949
108,DE Canun Venaticorum b,100,3813.2881,11.975,2018,Gas Giant,12.32,5.75 AU,4088,0,DE CVn,Eclipse Timing Variations,86,,13h26m53.27s,+45d32m46.69s,,0.51,,246.6999115
